"lat","lon","bay_segment","station","mo","chla"
27.889299,-82.477402,"HB",6,12,7.1
27.8589,-82.468597,"HB",7,12,9.2
27.8524,-82.409302,"HB",8,12,5.3
27.786501,-82.4272,"MTB",9,12,3.3
27.812901,-82.478897,"MTB",11,12,2
27.8118,-82.523201,"MTB",13,12,3.4
27.778,-82.520302,"MTB",14,12,2.9
27.723801,-82.533798,"MTB",16,12,1.7
27.693399,-82.555901,"MTB",19,12,2.1
27.666,-82.599197,"LTB",23,12,4.8
27.5884,-82.619301,"LTB",24,12,2.5
27.662701,-82.6679,"LTB",25,12,4
27.708401,-82.6092,"MTB",28,12,4.1
27.7932,-82.570702,"MTB",32,12,2.9
27.826099,-82.567497,"MTB",33,12,4
27.855801,-82.553299,"OTB",36,12,3.9
27.8818,-82.577499,"OTB",38,12,4.9
27.9291,-82.587303,"OTB",40,12,6.1
27.937401,-82.565002,"OTB",41,12,3.2
27.9237,-82.480698,"HB",44,12,13.2
27.9904,-82.659302,"OTB",46,12,8.9
27.972601,-82.620201,"OTB",47,12,4.2
27.918501,-82.537903,"OTB",50,12,3.2
27.8902,-82.548798,"OTB",51,12,2.9
27.896999,-82.438202,"HB",52,12,7.9
27.8493,-82.431396,"HB",55,12,7.2
27.989901,-82.631599,"OTB",60,12,3.6
27.9676,-82.575996,"OTB",63,12,3.6
27.979401,-82.683296,"OTB",64,12,11.6
27.945601,-82.694298,"OTB",65,12,9.1
27.927799,-82.639702,"OTB",66,12,7.9
27.9002,-82.592003,"OTB",67,12,5.5
27.8519,-82.580803,"OTB",68,12,5
27.908899,-82.463203,"HB",70,12,12.1
27.876499,-82.413803,"HB",71,12,6.5
27.8281,-82.413101,"HB",73,12,4.6
27.809601,-82.445999,"HB",80,12,3.7
27.7813,-82.474098,"MTB",81,12,3.6
27.751101,-82.5718,"MTB",82,12,3.6
27.729,-82.498703,"MTB",84,12,2.7
27.625999,-82.591499,"LTB",90,12,2.6
27.627899,-82.641502,"LTB",91,12,2.7
27.5737,-82.686798,"LTB",92,12,2.5
27.578899,-82.744102,"LTB",93,12,2.3
27.6112,-82.694702,"LTB",95,12,2.5
27.889299,-82.477402,"HB",6,11,8.7
27.8589,-82.468597,"HB",7,11,8.6
27.8524,-82.409302,"HB",8,11,5.6
27.786501,-82.4272,"MTB",9,11,3
27.812901,-82.478897,"MTB",11,11,7.7
27.8118,-82.523201,"MTB",13,11,4.5
27.778,-82.520302,"MTB",14,11,4.6
27.723801,-82.533798,"MTB",16,11,1.3
27.693399,-82.555901,"MTB",19,11,1.5
27.666,-82.599197,"LTB",23,11,2.2
27.5884,-82.619301,"LTB",24,11,1.3
27.662701,-82.6679,"LTB",25,11,1.3
27.708401,-82.6092,"MTB",28,11,2.2
27.7932,-82.570702,"MTB",32,11,4.9
27.826099,-82.567497,"MTB",33,11,6.8
27.855801,-82.553299,"OTB",36,11,7.1
27.8818,-82.577499,"OTB",38,11,6.3
27.9291,-82.587303,"OTB",40,11,8.4
27.937401,-82.565002,"OTB",41,11,6.2
27.9237,-82.480698,"HB",44,11,12.4
27.9904,-82.659302,"OTB",46,11,15.3
27.972601,-82.620201,"OTB",47,11,10
27.918501,-82.537903,"OTB",50,11,6.9
27.8902,-82.548798,"OTB",51,11,6.8
27.896999,-82.438202,"HB",52,11,7.7
27.8493,-82.431396,"HB",55,11,7.1
27.989901,-82.631599,"OTB",60,11,11.2
27.9676,-82.575996,"OTB",63,11,7.6
27.979401,-82.683296,"OTB",64,11,11.2
27.945601,-82.694298,"OTB",65,11,17.6
27.927799,-82.639702,"OTB",66,11,13.2
27.9002,-82.592003,"OTB",67,11,7.5
27.8519,-82.580803,"OTB",68,11,5.4
27.908899,-82.463203,"HB",70,11,7.1
27.876499,-82.413803,"HB",71,11,6.9
27.8281,-82.413101,"HB",73,11,1.8
27.809601,-82.445999,"HB",80,11,5.8
27.7813,-82.474098,"MTB",81,11,5
27.751101,-82.5718,"MTB",82,11,1.6
27.729,-82.498703,"MTB",84,11,1.5
27.625999,-82.591499,"LTB",90,11,2
27.627899,-82.641502,"LTB",91,11,1.6
27.5737,-82.686798,"LTB",92,11,1.4
27.578899,-82.744102,"LTB",93,11,1.3
27.6112,-82.694702,"LTB",95,11,1.6
27.889299,-82.477402,"HB",6,10,7.7
27.8589,-82.468597,"HB",7,10,12.9
27.8524,-82.409302,"HB",8,10,6.7
27.786501,-82.4272,"MTB",9,10,7.4
27.812901,-82.478897,"MTB",11,10,8.6
27.8118,-82.523201,"MTB",13,10,4.8
27.778,-82.520302,"MTB",14,10,4
27.723801,-82.533798,"MTB",16,10,2.7
27.693399,-82.555901,"MTB",19,10,3.5
27.666,-82.599197,"LTB",23,10,4.3
27.5884,-82.619301,"LTB",24,10,2.9
27.662701,-82.6679,"LTB",25,10,4.5
27.708401,-82.6092,"MTB",28,10,7.2
27.7932,-82.570702,"MTB",32,10,4.5
27.826099,-82.567497,"MTB",33,10,6.6
27.855801,-82.553299,"OTB",36,10,13.4
27.8818,-82.577499,"OTB",38,10,13
27.9291,-82.587303,"OTB",40,10,6.3
27.937401,-82.565002,"OTB",41,10,5.9
27.9237,-82.480698,"HB",44,10,9.1
27.9904,-82.659302,"OTB",46,10,16.6
27.972601,-82.620201,"OTB",47,10,11.6
27.918501,-82.537903,"OTB",50,10,5
27.8902,-82.548798,"OTB",51,10,7.5
27.896999,-82.438202,"HB",52,10,9.6
27.8493,-82.431396,"HB",55,10,10.4
27.989901,-82.631599,"OTB",60,10,12.1
27.9676,-82.575996,"OTB",63,10,7.7
27.979401,-82.683296,"OTB",64,10,17.2
27.945601,-82.694298,"OTB",65,10,12.8
27.927799,-82.639702,"OTB",66,10,17
27.9002,-82.592003,"OTB",67,10,11.1
27.8519,-82.580803,"OTB",68,10,10.9
27.908899,-82.463203,"HB",70,10,15.7
27.876499,-82.413803,"HB",71,10,14.4
27.8281,-82.413101,"HB",73,10,11.6
27.809601,-82.445999,"HB",80,10,9.9
27.7813,-82.474098,"MTB",81,10,7.9
27.751101,-82.5718,"MTB",82,10,5.4
27.729,-82.498703,"MTB",84,10,5.9
27.625999,-82.591499,"LTB",90,10,2.9
27.627899,-82.641502,"LTB",91,10,4.1
27.5737,-82.686798,"LTB",92,10,2.7
27.578899,-82.744102,"LTB",93,10,2.1
27.6112,-82.694702,"LTB",95,10,3.9
27.889299,-82.477402,"HB",6,9,12.5
27.8589,-82.468597,"HB",7,9,17.8
27.8524,-82.409302,"HB",8,9,4.8
27.786501,-82.4272,"MTB",9,9,3.6
27.812901,-82.478897,"MTB",11,9,11.8
27.8118,-82.523201,"MTB",13,9,9
27.778,-82.520302,"MTB",14,9,8.4
27.723801,-82.533798,"MTB",16,9,3.5
27.693399,-82.555901,"MTB",19,9,3.5
27.666,-82.599197,"LTB",23,9,5.1
27.5884,-82.619301,"LTB",24,9,5.3
27.662701,-82.6679,"LTB",25,9,2.6
27.708401,-82.6092,"MTB",28,9,4.7
27.7932,-82.570702,"MTB",32,9,4.2
27.826099,-82.567497,"MTB",33,9,5.4
27.855801,-82.553299,"OTB",36,9,8.4
27.8818,-82.577499,"OTB",38,9,10.5
27.9291,-82.587303,"OTB",40,9,9
27.937401,-82.565002,"OTB",41,9,7.2
27.9237,-82.480698,"HB",44,9,13.8
27.9904,-82.659302,"OTB",46,9,44.5
27.972601,-82.620201,"OTB",47,9,27.7
27.918501,-82.537903,"OTB",50,9,4.4
27.8902,-82.548798,"OTB",51,9,5.3
27.896999,-82.438202,"HB",52,9,19
27.8493,-82.431396,"HB",55,9,21.8
27.989901,-82.631599,"OTB",60,9,9.3
27.9676,-82.575996,"OTB",63,9,20.5
27.979401,-82.683296,"OTB",64,9,40.1
27.945601,-82.694298,"OTB",65,9,22.7
27.927799,-82.639702,"OTB",66,9,21.9
27.9002,-82.592003,"OTB",67,9,7.2
27.8519,-82.580803,"OTB",68,9,9.9
27.908899,-82.463203,"HB",70,9,12.7
27.876499,-82.413803,"HB",71,9,25.1
27.8281,-82.413101,"HB",73,9,5.5
27.809601,-82.445999,"HB",80,9,12.4
27.7813,-82.474098,"MTB",81,9,7.7
27.751101,-82.5718,"MTB",82,9,4
27.729,-82.498703,"MTB",84,9,3.7
27.625999,-82.591499,"LTB",90,9,6.2
27.627899,-82.641502,"LTB",91,9,5.1
27.5737,-82.686798,"LTB",92,9,7
27.578899,-82.744102,"LTB",93,9,5.4
27.6112,-82.694702,"LTB",95,9,4.4
27.889299,-82.477402,"HB",6,8,8.8
27.8589,-82.468597,"HB",7,8,13
27.8524,-82.409302,"HB",8,8,19.7
27.786501,-82.4272,"MTB",9,8,6.2
